institution_id,form,code,parent_code,level,name,unit,plan_2025,fact_2026,plan_percent,deviation,deviation_pct,formula,evidence
agik,form2,4.5,4,1,"Количество созданых творческих продуктов (проектов) по итогам оказания дополнительных услуг, в том числе на основе собстввенных разработок и/или совместных разработок со сторонними заказчиками",единиц,,59.0,,,,не требуется,"Копии договоров об оказании дополнительных услуг по созданию попрототипов/ творческих продуктов (проектов) в соответствии с уставной деятельностью ВУЗа (показатель ВУЗа, учитывается в мониторинге ""Наука - 2"")"
agik,form2,5,,0,Количество зарегистрированных  патентов и авторских прав на результаты творческой деятельности,единиц,,0.0,,,,"КЗ=ПА+АП, где:
КЗ- количество зарегистрированных  патентов и авторских прав на результаты творческой деятельности;
ПА- количество зарегистрированных  патентов на результаты творческой деятельности;
АП- количество зарегистрированных  авторских прав на результаты творческой деятельности",nan
agik,form2,5.1,5,1,Количество зарегистрированных  авторских прав на результаты творческой деятельности,единиц,,0.0,,,,не требуется,"Копии сертификатов или иных документов, подтверждающих количество зарегистрированных авторских прав"
agik,form2,5.2,5,1,Количество зарегистрированных  патентов на результаты творческой деятельности,единиц,,0.0,,,,не требуется,"Копии сертификатов или иных документов, подтверждающих количество зарегистрированных патентов"
agik,form2,6,,0,Объем оказанных услуг,рублей,,1224900.0,,,,"ОУ=Они+Оод+Оив, где:
ОУ- объем оказанных услуг;
Они- объем оказанных услуг по итогам научно-инновационной деятельности;
Оод- объем оказанных услуг по итогам образовательной деятельности;
Оив- объем оказанных услуг по итогам иных видов  деятельности","Показатель ВУЗа, учитывается в мониторинге ""Наука - 2"""
agik,form2,6.1,6,1,Объем оказанных услуг по итогам научно-инновационной деятельности (количество патентов и зарегистрированных авторских прав),рублей,,0.0,,,,не требуется,nan
agik,form2,6.2,6,1,Объем оказанных услуг по итогам образовательной деятельности,рублей,,764100.0,,,,не требуется,"Копии платежных или иных финансовых документов, договоров и актов оказанных услуг, подтверждающих значение показателя (показатель ВУЗа, учитывается в мониторинге ""Наука - 2"")"
agik,form2,6.3,6,1,Объем оказанных услуг по итогам иных видов деятельности (дополнительные услуги),рублей,,460800.0,,,,не требуется,"Копии платежных или иных финансовых документов, договоров и актов оказанных услуг, подтверждающих значение показателя"
andriyaki,form1,1,,0,"Увеличение числа мероприятий, проведенных центром прототипирования по отношению к предыдущему году",процент,7.0,7.0,0.1,0.0,0.0,"I(тицп)=(ОМi+МКi+КПКi+КППКi)/(ОМп+МКп+КПКп+КППКп) х 100%, 
где:
ОМi - количество разработанных образовательных модулей, проведенных в i-ом отчетном периоде, единица;
МКi - количество разработанных мастер-классов, проведенных в i-ом отчетном периоде, единица;
КПКi - количество разработанных курсов повышения квалификации, проведенных в i-ом отчетном периоде, единица;
КППКi - количество разработанных курсов профессиональной переподготовки кадров, проведенных в i-ом отчетном периоде, единица;
ОМп - количество разработанных образовательных модулей в предыдущем отчетном периоде, единица;
МКп - количество разработанных мастер-классов в предыдущем отчетном периоде, единица;
КПКп - количество разработанных курсов повышения квалификации в предыдущем отчетном периоде, единица;
КППКп - количество разработанных курсов профессиональной переподготовки кадров в предыдущем отчетном периоде, единица",
andriyaki,appendix_f1,1,,0,Количество разработанных образовательных модулей в отчетном году,единиц,3.0,3.0,,0.0,0.0,,https://cloud.mail.ru/public/6v1L/MPmUXt4iz
andriyaki,appendix_f1,2,,0,Количество разработанных мастер-классов в отчетном году,единиц,4.0,4.0,,0.0,0.0,,https://disk.yandex.ru/d/70z3lvdmcL3Yrw
andriyaki,appendix_f1,3,,0,Количество разработанных курсов повышения квалификации в отчетном году,единиц,0.0,0.0,,0.0,,,"Копии локальных актов ВУЗа, подтверждающих количество разработанных курсов повышения квалификации в отчетном году, программы повышения квалификации"
andriyaki,appendix_f1,4,,0,Количество разработанных курсов профессиональной переподготовки кадров в отчетном году,единиц,0.0,0.0,,0.0,,,"Копии локальных актов ВУЗа, подтверждающих количество разработанных курсов профессиональной переподготовки кадров в отчетном году, программы профессиональной переподготовки"
andriyaki,form2,1,,0,Участие в федеральных и международных мероприятиях с целью презентации услуг и продвижения деятельности центра,единиц,,2.0,,,,не требуется,https://t.me/prototipirovanie/38
andriyaki,form2,2,,0,"Количество публикаций в средствах массовой информации и сети Интернет, в том числе научных изданиях",единиц,,4.0,,,,не требуется,https://t.me/prototipirovanie/38
andriyaki,form2,3,,0,"Количество резидентов, которые создали на базе центра прототипы/ творческие продукты (проекты)",единиц,,21.0,,,,не требуется,"https://web.telegram.org/a/#-1001900610041, https://cloud.mail.ru/public/oAae/HTmT8BMM9"
andriyaki,form2,3.1,3,1,"Количество человек, прошедших обучение в рамках образовательных модулей",человек,,105.0,,,,не требуется,https://disk.yandex.ru/d/7yS5CNJpLc4wrg
andriyaki,form2,3.2,3,1,"Количество человек, прошедших обучение в рамках мастер-классов",человек,,0.0,,,,не требуется,Копии журнала регистрации участников мастер-классов
andriyaki,form2,3.3,3,1,"Количество человек, прошедших обучение в рамках курсов повышения квалификации",человек,,0.0,,,,не требуется,"Копии локальных актов ВУЗа, подтверждающих количество человек, прошедших обучение в рамках курсов повышения квалификации.Отчет ФИС ФРДО (показатель ВУЗа, учитывается в мониторинге ""1-ПК"")"
andriyaki,form2,3.4,3,1,"Количество человек, прошедших обучение в рамках курсов профессиональной переподготовки кадров",человек,,0.0,,,,не требуется,"Копии локальных актов ВУЗа, подтверждающих количество человек, прошедших обучение в рамках курсов профессиональной переподготовки кадров. Отчет ФИС ФРДО  (показатель ВУЗа, учитывается в мониторинге ""1-ПК"")"
andriyaki,form2,3.5,3,1,"Количество резидентов (физических и юридических лиц), которые создали на базе центра прототипы/ творческие продукты (проекты) в рамках оказания  дополнительных услуг",единиц,,0.0,,,,не требуется,"Копии договоров об оказании дополнительных услуг по созданию попрототипов/ творческих продуктов (проектов) в соответствии с уставной деятельностью ВУЗа (показатель ВУЗа, учитывается в мониторинге ""Наука - 2"")"
andriyaki,form2,4,,0,Количество созданных прототипов/ творческих продуктов (проектов) по итогам оказания услуг,единиц,,21.0,,,,"Кс=(ПРом+ПРмк+ПРкпк+ПРппк+ПР), где:
Кс - количество созданных прототипов/творческих продуктов (проектов) по итогам оказания услуг;
ПРом - количество созданных прототипов/творческих продуктов (проектов) по итогам прохождения обучения в рамках образовательных модулей;                              ПРмк - количество созданных прототипов/творческих продуктов (проектов) по итогам прохождения обучения в рамках мастер-классов;
ПРкпк - количество созданных прототипов/творческих продуктов (проектов) по итогам прохождения обучения в рамках курсов повышения квалификации;
ПРппк - количество созданных прототипов/творческих продуктов (проектов) по итогам прохождения обучения в рамках профессиональной переподготовки кадров;                                                                                                                                                         ПР - количество созданых попрототипов/творческих продуктов (проектов) по итогам оказания дополнительных услуг, в том числе на основе собстввенных разработок и/или совместных разработок со сторонними заказчиками",https://cloud.mail.ru/home/Прототипирование/Изображения
andriyaki,form2,4.1,4,1,Количество созданных прототипов/творческих продуктов (проектов) по итогам прохождения обучения в рамках образовательных модулей,единиц,,21.0,,,,не требуется,https://disk.yandex.ru/d/7yS5CNJpLc4wrg
andriyaki,form2,4.2,4,1,Количество созданных прототипов/творческих продуктов (проектов) по итогам прохождения обучения в рамках мастер-классов,единиц,,0.0,,,,не требуется,"Копии журнала регистрации участников мастер-классов  с указанием созданных прототипов/творческих продуктов (проектов)(показатель ВУЗа, учитывается в мониторинге ""Наука - 2"")"
andriyaki,form2,4.3,4,1,Количество созданных прототипов/творческих продуктов (проектов) по итогам прохождения обучения в рамках курсов повышения квалификации,единиц,,0.0,,,,не требуется,"Копии локальных актов ВУЗа, подтверждающих количество созданных прототипов/творческих продуктов (проектов) по итогам прохождения обучения в рамках курсов повышения квалификации (показатель ВУЗа, учитывается в мониторинге ""Наука - 2"")"
andriyaki,form2,4.4,4,1,Количество созданных прототипов/творческих продуктов (проектов) по итогам прохождения обучения в рамках курсов профессиональной переподготовки кадров,единиц,,0.0,,,,не требуется,"Копии локальных актов ВУЗа, подтверждающих количество созданных прототипов/творческих продуктов (проектов) по итогам прохождения обучения в рамках курсов профессиональной переподготовки кадров (показатель ВУЗа, учитывается в мониторинге ""Наука - 2"")"
andriyaki,form2,4.5,4,1,"Количество созданых попрототипов/творческих продуктов (проектов) по итогам оказания дополнительных услуг, в том числе на основе собстввенных разработок и/или совместных разработок со сторонними заказчиками",единиц,,0.0,,,,не требуется,"Копии договоров об оказании дополнительных услуг по созданию попрототипов/ творческих продуктов (проектов) в соответствии с уставной деятельностью ВУЗа (показатель ВУЗа, учитывается в мониторинге ""Наука - 2"")"
andriyaki,form2,5,,0,Количество зарегистрированных  патентов и авторских прав на результаты творческой деятельности,единиц,,0.0,,,,"КЗ=ПА+АП, где:
КЗ- количество зарегистрированных  патентов и авторских прав на результаты творческой деятельности;
ПА- количество зарегистрированных  патентов на результаты творческой деятельности;
АП- количество зарегистрированных  авторских прав на результаты творческой деятельности","Показатель ВУЗа, учитывается в мониторинге ""Наука - 2"""
andriyaki,form2,5.1,5,1,Количество зарегистрированных  авторских прав на результаты творческой деятельности,единиц,,0.0,,,,не требуется,"Копии сертификатов или иных документов, подтверждающих количество зарегистрированных авторских прав (показатель ВУЗа, учитывается в мониторинге ""Наука - 2"")"
andriyaki,form2,5.2,5,1,Количество зарегистрированных  патентов на результаты творческой деятельности,единиц,,0.0,,,,не требуется,"Копии сертификатов или иных документов, подтверждающих количество зарегистрированных патентов"
andriyaki,form2,6,,0,Объем оказанных услуг,рублей,,149600.0,,,,"ОУ=Они+Оод+Оив, где:
ОУ- объем оказанных услуг;
Они- объем оказанных услуг по итогам научно-инновационной деятельности;
Оод- объем оказанных услуг по итогам образовательной деятельности;
Оив- объем оказанных услуг по итогам иных видов  деятельности","Показатель ВУЗа, учитывается в мониторинге ""Наука - 2"""
andriyaki,form2,6.1,6,1,Объем оказанных услуг по итогам научно-инновационной деятельности (количество патентов и зарегистрированных авторских прав),тыс.рублей,,0.0,,,,не требуется,"Копии платежных или иных финансовых документов, договоров и актов оказанных услуг, подтверждающих значение показателя (показатель ВУЗа, учитывается в мониторинге ""Наука - 2"")"
andriyaki,form2,6.2,6,1,Объем оказанных услуг по итогам образовательной деятельности,рублей,,149600.0,,,,не требуется,https://disk.yandex.ru/d/7yS5CNJpLc4wrg
andriyaki,form2,6.3,6,1,Объем оказанных услуг по итогам иных видов деятельности (дополнительные услуги),тыс.рублей,,0.0,,,,не требуется,"Копии платежных или иных финансовых документов, договоров и актов оказанных услуг, подтверждающих значение показателя"
vgii,form1,1,,0,"Темп роста числа мероприятий, проведенных творческими инкубаторами и центрами прототипирования по отношению к предыдущему году",процент,16.0,14.0,0.1,-2.0,-12.5,"I(тицп)=(ОМi+МКi+КПКi+КППКi)/(ОМп+МКп+КПКп+КППКп) х 100%, 
где:
ОМi - количество разработанных образовательных модулей, проведенных в i-ом отчетном периоде, единица;
МКi - количество разработанных мастер-классов, проведенных в i-ом отчетном периоде, единица;
КПКi - количество разработанных курсов повышения квалификации, проведенных в i-ом отчетном периоде, единица;
КППКi - количество разработанных курсов профессиональной переподготовки кадров, проведенных в i-ом отчетном периоде, единица;
ОМп - количество разработанных образовательных модулей в предыдущем отчетном периоде, единица;
МКп - количество разработанных мастер-классов в предыдущем отчетном периоде, единица;
КПКп - количество разработанных курсов повышения квалификации в предыдущем отчетном периоде, единица;
КППКп - количество разработанных курсов профессиональной переподготовки кадров в предыдущем отчетном периоде, единица",
vgii,appendix_f1,1,,0,Количество разработанных образовательных модулей в отчетном году,единиц,9.0,10.0,,1.0,11.11111111111111,,https://cloud.mail.ru/public/mMTd/qVkGG65zG
vgii,appendix_f1,2,,0,Количество разработанных мастер-классов в отчетном году,единиц,7.0,4.0,,-3.0,-42.857142857142854,,https://cloud.mail.ru/public/KRAZ/SCcUVSrpF
vgii,appendix_f1,3,,0,Количество разработанных курсов повышения квалификации в отчетном году,единиц,,,,,,,"Копии локальных актов ВУЗа, подтверждающих количество разработанных курсов повышения квалификации в отчетном году, программы повышения квалификации"
vgii,appendix_f1,4,,0,Количество разработанных курсов профессиональной переподготовки кадров в отчетном году,единиц,,,,,,,"Копии локальных актов ВУЗа, подтверждающих количество разработанных курсов профессиональной переподготовки кадров в отчетном году, программы профессиональной переподготовки"
vgii,form2,1,,0,Участие в федеральных и международных мероприятиях с целью презентации услуг и продвижения деятельности центра,единиц,,11.0,,,,не требуется,https://cloud.mail.ru/public/DoNY/E6cFBTVE6
vgii,form2,2,,0,"Количество публикаций в средствах массовой информации и сети Интернет, в том числе научных изданиях",единиц,,31.0,,,,не требуется,https://cloud.mail.ru/public/NR3C/m73tWRhqm
vgii,form2,3,,0,"Количество резидентов, которые создали на базе центра прототипы/ творческие продукты (проекты)",единиц,,160.0,,,,не требуется,https://cloud.mail.ru/public/w1JU/Cc3BrznPz
vgii,form2,3.1,3,1,"Количество человек, прошедших обучение в рамках образовательных модулей",человек,,117.0,,,,не требуется,https://cloud.mail.ru/public/Ep72/Ramjd5ieA
vgii,form2,3.2,3,1,"Количество человек, прошедших обучение в рамках мастер-классов",человек,,55.0,,,,не требуется,https://cloud.mail.ru/public/q44o/yXamiiyjA
vgii,form2,3.3,3,1,"Количество человек, прошедших обучение в рамках курсов повышения квалификации",человек,,0.0,,,,не требуется,"Копии локальных актов ВУЗа, подтверждающих количество человек, прошедших обучение в рамках курсов повышения квалификации.Отчет ФИС ФРДО (показатель ВУЗа, учитывается в мониторинге ""1-ПК"")"
vgii,form2,3.4,3,1,"Количество человек, прошедших обучение в рамках курсов профессиональной переподготовки кадров",человек,,0.0,,,,не требуется,"Копии локальных актов ВУЗа, подтверждающих количество человек, прошедших обучение в рамках курсов профессиональной переподготовки кадров. Отчет ФИС ФРДО  (показатель ВУЗа, учитывается в мониторинге ""1-ПК"")"
vgii,form2,3.5,3,1,"Количество резидентов (физических и юридических лиц), которые создали на базе центра прототипы/ творческие продукты (проекты) в рамках оказания  дополнительных услуг",единиц,,7.0,,,,не требуется,https://cloud.mail.ru/public/tGxg/2NDnu8Xyp
vgii,form2,4,,0,Количество созданных прототипов/ творческих продуктов (проектов) по итогам оказания услуг,единиц,,35.0,,,,"Кс=(ПРом+ПРмк+ПРкпк+ПРппк+ПР), где:
Кс - количество созданных прототипов/творческих продуктов (проектов) по итогам оказания услуг;
ПРом - количество созданных прототипов/творческих продуктов (проектов) по итогам прохождения обучения в рамках образовательных модулей;                              ПРмк - количество созданных прототипов/творческих продуктов (проектов) по итогам прохождения обучения в рамках мастер-классов;
ПРкпк - количество созданных прототипов/творческих продуктов (проектов) по итогам прохождения обучения в рамках курсов повышения квалификации;
ПРппк - количество созданных прототипов/творческих продуктов (проектов) по итогам прохождения обучения в рамках профессиональной переподготовки кадров;                                                                                                                                                         ПР - количество созданых попрототипов/творческих продуктов (проектов) по итогам оказания дополнительных услуг, в том числе на основе собстввенных разработок и/или совместных разработок со сторонними заказчиками",nan
vgii,form2,4.1,4,1,Количество созданных прототипов/творческих продуктов (проектов) по итогам прохождения обучения в рамках образовательных модулей,единиц,,26.0,,,,не требуется,https://cloud.mail.ru/public/w1JU/Cc3BrznPz
vgii,form2,4.2,4,1,Количество созданных прототипов/творческих продуктов (проектов) по итогам прохождения обучения в рамках мастер-классов,единиц,,0.0,,,,не требуется,"Копии журнала регистрации участников мастер-классов  с указанием созданных прототипов/творческих продуктов (проектов)(показатель ВУЗа, учитывается в мониторинге ""Наука - 2"")"
vgii,form2,4.3,4,1,Количество созданных прототипов/творческих продуктов (проектов) по итогам прохождения обучения в рамках курсов повышения квалификации,единиц,,0.0,,,,не требуется,"Копии локальных актов ВУЗа, подтверждающих количество созданных прототипов/творческих продуктов (проектов) по итогам прохождения обучения в рамках курсов повышения квалификации (показатель ВУЗа, учитывается в мониторинге ""Наука - 2"")"
vgii,form2,4.4,4,1,Количество созданных прототипов/творческих продуктов (проектов) по итогам прохождения обучения в рамках курсов профессиональной переподготовки кадров,единиц,,0.0,,,,не требуется,"Копии локальных актов ВУЗа, подтверждающих количество созданных прототипов/творческих продуктов (проектов) по итогам прохождения обучения в рамках курсов профессиональной переподготовки кадров (показатель ВУЗа, учитывается в мониторинге ""Наука - 2"")"
vgii,form2,4.5,4,1,"Количество созданых попрототипов/творческих продуктов (проектов) по итогам оказания дополнительных услуг, в том числе на основе собстввенных разработок и/или совместных разработок со сторонними заказчиками",единиц,,9.0,,,,не требуется,https://cloud.mail.ru/public/tGxg/2NDnu8Xyp
vgii,form2,5,,0,Количество зарегистрированных  патентов и авторских прав на результаты творческой деятельности,единиц,,0.0,,,,"КЗ=ПА+АП, где:
КЗ- количество зарегистрированных  патентов и авторских прав на результаты творческой деятельности;
ПА- количество зарегистрированных  патентов на результаты творческой деятельности;
АП- количество зарегистрированных  авторских прав на результаты творческой деятельности",nan
vgii,form2,5.1,5,1,Количество зарегистрированных  авторских прав на результаты творческой деятельности,единиц,,0.0,,,,не требуется,"Копии сертификатов или иных документов, подтверждающих количество зарегистрированных авторских прав (показатель ВУЗа, учитывается в мониторинге ""Наука - 2"")"
vgii,form2,5.2,5,1,Количество зарегистрированных  патентов на результаты творческой деятельности,единиц,,0.0,,,,не требуется,"Копии сертификатов или иных документов, подтверждающих количество зарегистрированных патентов"
vgii,form2,6,,0,Объем оказанных услуг,рублей,,3550500.0,,,,"ОУ=Они+Оод+Оив, где:
ОУ- объем оказанных услуг;
Они- объем оказанных услуг по итогам научно-инновационной деятельности;
Оод- объем оказанных услуг по итогам образовательной деятельности;
Оив- объем оказанных услуг по итогам иных видов  деятельности",https://cloud.mail.ru/public/5Xik/qYyWGBtoo
vgii,form2,6.1,6,1,Объем оказанных услуг по итогам научно-инновационной деятельности (количество патентов и зарегистрированных авторских прав),рублей,,0.0,,,,не требуется,"Копии платежных или иных финансовых документов, договоров и актов оказанных услуг, подтверждающих значение показателя (показатель ВУЗа, учитывается в мониторинге ""Наука - 2"")"
vgii,form2,6.2,6,1,Объем оказанных услуг по итогам образовательной деятельности,рублей,,3200500.0,,,,не требуется,https://cloud.mail.ru/public/5Xik/qYyWGBtoo
vgii,form2,6.3,6,1,Объем оказанных услуг по итогам иных видов деятельности (дополнительные услуги),рублей,,350000.0,,,,не требуется,https://cloud.mail.ru/public/tGxg/2NDnu8Xyp
gmp,form1,1,,0,"Темп роста числа мероприятий, проведенных творческими инкубаторами и центрами прототипирования по отношению к предыдущему году",процент,4.0,6.0,0.1,2.0,50.0,"I(тицп)=(ОМi+МКi+КПКi+КППКi)/(ОМп+МКп+КПКп+КППКп) х 100%, 
где:
ОМi - количество разработанных образовательных модулей, проведенных в i-ом отчетном периоде, единица;
МКi - количество разработанных мастер-классов, проведенных в i-ом отчетном периоде, единица;
КПКi - количество разработанных курсов повышения квалификации, проведенных в i-ом отчетном периоде, единица;
КППКi - количество разработанных курсов профессиональной переподготовки кадров, проведенных в i-ом отчетном периоде, единица;
ОМп - количество разработанных образовательных модулей в предыдущем отчетном периоде, единица;
МКп - количество разработанных мастер-классов в предыдущем отчетном периоде, единица;
КПКп - количество разработанных курсов повышения квалификации в предыдущем отчетном периоде, единица;
КППКп - количество разработанных курсов профессиональной переподготовки кадров в предыдущем отчетном периоде, единица",
gmp,appendix_f1,1,,0,Количество разработанных образовательных модулей в отчетном году,единиц,3.0,3.0,,0.0,0.0,,https://cloud.ippolitovka.ru/s/2fc7pQZQQPdHq5N
gmp,appendix_f1,2,,0,Количество разработанных мастер-классов в отчетном году,единиц,0.0,1.0,,1.0,,,https://cloud.ippolitovka.ru/s/f63n7F8oW7DL2is
gmp,appendix_f1,3,,0,Количество разработанных курсов повышения квалификации в отчетном году,единиц,1.0,1.0,,0.0,0.0,,https://cloud.ippolitovka.ru/s/cynDtotZWeG68mS
gmp,appendix_f1,4,,0,Количество разработанных курсов профессиональной переподготовки кадров в отчетном году,единиц,0.0,1.0,,1.0,,,https://cloud.ippolitovka.ru/s/5gyNtfLz6CzN4AR
gmp,form2,1,,0,Участие в федеральных и международных мероприятиях с целью презентации услуг и продвижения деятельности центра,единиц,,5.0,,,,не требуется,https://cloud.ippolitovka.ru/s/MmP5S4GPZyC5BCn
gmp,form2,2,,0,"Количество публикаций в средствах массовой информации и сети Интернет, в том числе научных изданиях",единиц,,43.0,,,,не требуется,https://cloud.ippolitovka.ru/s/iGmWy4WCadrX5L3
gmp,form2,3,,0,"Количество резидентов, которые создали на базе центра прототипы/ творческие продукты (проекты)",единиц,,55.0,,,,не требуется,https://cloud.ippolitovka.ru/s/GMRgjenwtXL5ZYE
gmp,form2,3.1,3,1,"Количество человек, прошедших обучение в рамках образовательных модулей",человек,,11.0,,,,не требуется,https://cloud.ippolitovka.ru/s/2fc7pQZQQPdHq5N
gmp,form2,3.2,3,1,"Количество человек, прошедших обучение в рамках мастер-классов",человек,,5.0,,,,не требуется,https://cloud.ippolitovka.ru/s/f63n7F8oW7DL2is
gmp,form2,3.3,3,1,"Количество человек, прошедших обучение в рамках курсов повышения квалификации",человек,,1.0,,,,не требуется,https://cloud.ippolitovka.ru/s/cynDtotZWeG68mS
gmp,form2,3.4,3,1,"Количество человек, прошедших обучение в рамках курсов профессиональной переподготовки кадров",человек,,0.0,,,,не требуется,nan
gmp,form2,3.5,3,1,"Количество резидентов (физических и юридических лиц), которые создали на базе центра прототипы/ творческие продукты (проекты) в рамках оказания  дополнительных услуг",единиц,,38.0,,,,не требуется,https://cloud.ippolitovka.ru/s/sPr46iTeHGXtAyy
